Kif2b	Mapre1
B3gat1	Vcan
Bpifb2	Amelx
COL9A3	Pdgfb
Polr2l	Pcbp1
Eif4a3l1	Wdr33
TAS2R19	Cxcl9
Alyreffm2	Sugp1
Hspa1a	HSPA1B
Tbcd	Tcp1
Ncbp2	Upf1
Cyfip2	IGLV3-21
Adra1a	Bdkrb2
Polr2d	Lsm4
Tigit	Tigit
Psme2	Psmd6
Gpc6	Hpse
Tcea1	Ccnh
IGLV1-51	IGHA2
Jak1	Fgf1
Wasf2	IGLV3-19
Hrh1	Bdkrb1
LINC02224	LINC02224
Ifna5	Stat1
Ccl21b	Ccl19
Lsm4	Sf3b4
Hrh4	Sstr3
IGKV1-39	IGLV6-57
IGLV1-51	IGHV4-34
Mc4r	Adcy9
Npy	Gnat3
Bola3	Bola3
CXCL11	CCL16
Mrpl44	Mrpl18
Mrpl24	Mrpl22
Tas2r135	Ccr10
Pramel25	Pramel56
Telo2	Telo2
Bmp3	Bmp3
Gm23862	Snord116l8
Ghrhr	Rxfp1
Srsf4	Cwc22
Rac1	Actr2
Mrpl10	Mrps31
Ighv8-6	Pik3cb
Cyfip2	Igkv8-19
ANKRD30BL	ANKRD30BL
Kxd1	Cdc23
Wdr33	Tra2b
PTEN	Plcb1
Hus1	Blm
Gtf2f2	PRPF31
Tab2	Nfkb2
Zwilch	Cenpp
Tomm7	Timm23
Col8a1	Col6a3
Rps14	Spcs2
Sgo2a	Cenpu
Socs1	Ifna11
Fpr-rs6	Chrm2
Gpc3	Fstl3
Sptbn2	Fgfr1
Dcun1d1	Fem1b
Ucp3	Ndufv3
Ndufs1	Acad9
LCA10	LCA10
Pla2g2f	Mtm1
Lrr1	Asb14
LINC02829	LINC02829
Tunar	Tunar
Sptb	Il3
ZNF271P	ZNF271P
Dclre1b	Dclre1b
Pdyn	Bdkrb1
Ranbp2	Chtop
Sun2	Gm20870
Alyref	Bcas2
Fbxl12	Asb13
Nup133	Hnrnpd
Wapl	Cenpm
Ces1c	Ces1h
Stc2	Adam10
MYH11	Itgb5
Rplp2-ps1	RPLP1
Rragc	Akt1s1
Gabbr2	Cxcr4
1700013H16Rik	Tex12
Ccnt1	Nelfb
RANP1	RANP1
Phlpp2	Akt1
Rplp0	RPS25
Pcnt	Cep192
Igf2r	Gcc2
Rps27	Cenpc1
Arhgap11a	Rhod
Snrpb	Pcbp1
MAGOHB	Rpl36
Ighv1-78	Tec
Fgf8	Fgfr3
Ube2i	Herc2
Psmd7	Psmd6
Kat5	Clspn
Stip1	Nr3c2
PRAMEF9	Pramel53
Pcbp1	Cwc22rt4
Galr2	Lpar3
Haus1	Dctn1
Ccl21a	P2ry12
Ighv1-56	IGHV4-59
Fbxl22	Ccdc22
Iglc4	Ighv8-9
Ssxb3	Ssxb13
PRAMEF26	Gm16367
Ighv8-11	Pik3r1
Ddx5	Cwc22rt3
Tomm22	Hspa9
Echdc3	Echdc3
Asb10	Cand1
Or52m1	Gngt1
HLA-DPA1	Prkcq
Cd247	Igkv8-27
Smc1a	Cenpm
Tas2r140	Oprl1
Fgfr2	Klb
Yy1	Tfpt
Msln	Serpina1c
MUC12	Galnt6
IGHG4	IGLV3-25
Ighv1-11	Masp1
Ighv1-47	Ighv6-6
Psmd14	Nedd8
TAS2R10	S1pr2
Arhgap22	Vav1
Alyreffm3	Snw1
Fbf1	B9d1
Nup43	Hspa1b
Polr2c	Alyreffm12
Brca1	Gm10230
Cyfip1	Ighv1-19
Ap2s1	Vamp4
Cep131	Bora
Ncbp2	Rpl4
Mrps21	Mrpl57
Iglc2	Ighv6-7
F5	F7
Nol11	Rcl1
Cltb	Snx9
IGKV1-17	MASP1
Apol9a	Apoa1
Ighv1-16	Lcp2
Arhgap22	Sos2
Tmsb4x	Tmsb4x
Apol7b	Lamc1
Eif1ax	Rps18
Ighv1-69	C4a
Ctnnbl1	Pqbp1
Nop10	RPS9
Arhgef12	Anxa1
Mrpl2	Mrpl55
GTF2A2	Taf9b
Birc2	Cd40lg
Gm24711	Gm23141
Nde1	Cep89
S1pr1	Npy4r
Mrpl4	Mrrf
IGLV2-14	IGLV1-40
Kxd1	Ercc5
Hrh3	Tas2r106
TRIM10	Trim10
Hnrnpa2b1	Rbm22
Icos	Fgf3
Mrpl40	Mrps9
IGKV1-17	Fcgr2b
Pecam1	Itgb3
Nmbr	Casr
Serpina1a	Tgfa
Fbxo4	VHL
Ighv1-72	Vpreb1b
Rbmyf9	Rbmyf5
Nmb	Lpar6
Sycp1	Gm20888
Git1	Ephb2
Gpr4	Npffr1
Srp14	Rpl4
Ighv1-61	Pik3r1
Rprd1a	Ell
Lman1	Scfd1
Hs3st5	Hspg2
Ptpn18	Nrg4
Brk1	IGLV1-40
Sec61b	Rps25
RPS12	Uba52rt
Kcnab2	Kcnh8
ZXDA	ZXDA
LSM2	Eif4b
Cog1	Tmed7
Hnrnpc	Sugp1
Gper1	Sstr2
Tulp4	Socs2
Smc1b	Slx
Cops4	Skp2
Gm13057	Pramel55
Fau	Eif3h
Plk4	FGFR1OP
Lsm3	Cherp
Pak1	Nck1
Mogs	Mlec
Srrm2	HSPA8
Cep78	Dync1h1
Nts	Kng2
Itgb2	Fgg
Polr2k	HNRNPL
Gpld1	CEACAM7
ZNF264	ZNF264
TAF9	Polr2d
Gm25474	Gm22851
Ccr7	TAS2R46
Uba52rt	Usp21
Sec24a	Trappc4
Pik3r6	Hcrt
CXCL8	Ccl19
Psmb6	Psme2b
Krtap10-28	Krtap10-29
Nup160	CENPP
Sptbn1	Irs1
Magoh	Rpl4
Eif3h	Eif3l
Fpr-rs3	Npy4r
Krt78	Krt9
Ctu2	Ran
Ocrl	HSPA8
Krt15	Krt14
Fpr1	Pik3cg
Gm24618	Gm22128
Sae1	Ring1
TUBA3E	Cct4
Adora3	Ccr1
Apol10b	Prkcsh
Zmat5	Polr2c
Tuba1a	Cep97
Mrpl39	Mrps15
IGKV3-15	Grap2
Nfkbie	Ikbkb
Cxcl12	Gpr17
Ptger4	Sct
Ighv1-22	Colec11
SPG36	SPG36
Rasa1	Ephb1
Uqcrc1	Ndufs4
Alyreffm12	Prpf19
Gtf2f1	Ppil1
Spin2e	Spin2j
Ywhae	Tctn3
Polr2c	Snrpf
Cdk12	Supt16
Rpl35a	Rps21
Kiss1	Pmch
Chst7	Chpf
POLR2A	Ell2
CXCL5	Ccr1l1
Slx4	Cenps
Cnr2	Sucnr1
Gemin5	SMN2
Crnkl1	Wbp4
Cd247	Arpc4
Pik3cb	Fgf18
CETN2	Uba52rt
Sec24d	F8
Aaas	Nxf1
Mrpl27	Mtrf1l
Eif1ad16	Eif1ad15
IGLV2-14	Ighv1-67
Oga	Oga
OACYLP	OACYLP
CXCL1	Cxcr6
Napa	BET1
Itpr1	Ighm
4930522H14Rik	4930522H14Rik
RPS12	Rpl3
Nmbr	Uts2b
Prkar2b	Mzt1
Fbxl5	Fbxl4
Cdc25c	Anapc11
Polr2i	Uvssa
Ighv1-81	IGHD
MUC20	Muc17
HS3ST6	Gpc5
Rab3ip	Tubb5
Krtap2-20	Krtap10-22
Ighv8-2	Ighv1-49
Cers5	Cers5
H2-M9	HLA-B
Cdk2	Ppp2r2a
Gtf2f2	Hnrnpu
Met	Ywhab
Fbxo17	Herc6
Defa32	Defa34
Gm49322	Polr3h
ATP5I	SLC25A6
Rps15	RPS4Y1
Fbxw13	Rnf144b
Eif3c	Rpl29
Polr2g	Lsm4
Chrm4	GABBR1
CXCL3	CXCL5
Eif4a3l1	Rbm22
Tmem119	Tmem119
Igfbp4	Sdc2
Rps15a	Rpl36
ND4	4933405O20Rik
Hrh4	Ppbp
Fbxo2	Rnf213
Pdha1	Pdpr
Muc17	MUC7
Upf1	Rpl8
Epha8	Efna5
Ighv1-37	Syk
Ighv8-6	Ighv8-13
Tas2r115	Lpar5
Trav15n-2	Trav15d-2-dv6d-2
GNAQ	Adra1b
Npy4r	P2ry13
Cul1	Bora
Dync1li2	Dync1h1
Krt19	Krt27
Ccr2	TAS2R60
OMG	Mag
Cog7	Dynll2
Tab3	NFKBIB
Ighv1-20	IGKV5-2
Ighv1-18	Crk
Cd300ld3	Cd300ld5
Eif3j1	Rpl23
Tab3	Chuk
Vav2	Cdh5
Plcb2	Rxfp4
Kxd1	Faap24
Ighv1-18	Igkv6-25
Crcp	Snapc3
Ighv1-72	IGLV2-23
Ighv1-19	Arpc2
Oxt	Chrm5
Fbxl13	Fbxw2
