CHEMBL591118	Dpp4
CHEMBL539770	Cacng1
CHEMBL4297268	Tubb4a
CHEMBL2108709	Col28a1
CHEMBL1742990	Cd80
CHEMBL2141296	PSMC4
CHEMBL15770	Ptgs2
CHEMBL1721885	Flt4
CHEMBL2110737	Sis
CHEMBL1200329	Adra2c
CHEMBL1200802	Gabrb2
CHEMBL1200695	Adra1a
CHEMBL127071	Chrna6
CHEMBL538943	Tuba1a
CHEMBL3545096	Pik3cb
CHEMBL4594355	PDCD1
CHEMBL563251	Slc6a9
CHEMBL4650472	Pdcd1
CHEMBL363295	Cacna1h
CHEMBL4594497	Cep290
CHEMBL363295	Cacna2d1
CHEMBL3545393	Nr3c2
CHEMBL2108709	Col3a1
CHEMBL4297636	Tubb6
CHEMBL3301611	Kcna6
CHEMBL3301589	Nectin4
CHEMBL1201206	CHRNB1
CHEMBL586702	Pik3cd
CHEMBL43452	Crbn
CHEMBL2387080	Pik3r1
CHEMBL4594554	Pcsk9
CHEMBL4650402	MAPT
CHEMBL1887891	Htr1f
CHEMBL4297804	Tubb3
CHEMBL1703	Ndufaf4
CHEMBL1200326	Cacna1d
CHEMBL123292	Rps14
CHEMBL1200875	Pde4b
CHEMBL38943	Ppard
CHEMBL15870	Ptgs1
CHEMBL3644587	TNKS
CHEMBL3990032	Tuba1b
CHEMBL284348	Kcnc3
CHEMBL1200953	Nr3c1
CHEMBL48361	F2
CHEMBL3989410	Ptgs2
CHEMBL1256841	Maoa
CHEMBL371405	Psmb4
CHEMBL1200982	Gabrb1
CHEMBL3544922	Lingo1
CHEMBL539770	Chrm2
CHEMBL2109374	Col4a4
CHEMBL3301589	Tubb2a
CHEMBL2108278	Dmd
CHEMBL2103857	Slc6a2
CHEMBL2109574	Tubb5
CHEMBL279785	Mmp12
CHEMBL4594275	Jak3
CHEMBL2360464	Dhfr
CHEMBL1200420	Gabrg3
CHEMBL492	Scn4a
CHEMBL2105758	Mpl
CHEMBL1743020	Cd3e
CHEMBL1631540	Htr1b
CHEMBL325041	Psmd13
CHEMBL1170	Ar
CHEMBL221959	Tyk2
CHEMBL1089636	Tubb5
CHEMBL2151197	Hrh3
CHEMBL123292	RPL39
CHEMBL782	Abcc8
CHEMBL4297522	Fgfr2
CHEMBL1200413	Adra2b
CHEMBL1257040	DRD4
CHEMBL4297268	Tubb4b
CHEMBL2151439	HTR3D
CHEMBL529437	Scn8a
CHEMBL312443	Gabra6
CHEMBL970	Gabra3
CHEMBL3707248	Slc18a2
CHEMBL1980297	Frk
CHEMBL4297458	Brd2
CHEMBL462018	AKT3
CHEMBL1767408	P2ry4
CHEMBL1946170	Braf
CHEMBL1685	Oprk1
CHEMBL2107354	Nod2
CHEMBL2105233	Aoc1l1
CHEMBL1079593	Pik3cd
CHEMBL517427	Cacna1c
CHEMBL765	Slc6a2
CHEMBL1086218	Abcb1b
CHEMBL1743058	App
CHEMBL1200434	PDE4C
CHEMBL217899	Pde4a
CHEMBL931	Kcnk18
CHEMBL3990032	Tubb6
CHEMBL284348	Kcng3
CHEMBL4650294	Mif
CHEMBL1311	Gucy1b1
CHEMBL1201439	Il2ra
CHEMBL1200841	Scn11a
CHEMBL698	Scn11a
CHEMBL289351	Tuba1c
CHEMBL548	Ptger2
CHEMBL2105756	Pdgfrb
CHEMBL1008	Cacng2
CHEMBL4163691	Btk
CHEMBL1201023	Scn4a
CHEMBL5315122	PSMC4
CHEMBL971	Gabra3
CHEMBL1200703	Gabrq
CHEMBL4594301	Gabrg1
CHEMBL189676	Cnr1
CHEMBL1574	Slc6a2
CHEMBL1200790	Gabrq
CHEMBL325041	Psmb2
CHEMBL2109586	Angpt2
CHEMBL2029988	Ret
CHEMBL3989768	Oprm1
CHEMBL4297843	PDCD1
CHEMBL3039517	Chek1
CHEMBL1200806	Ptgs1
CHEMBL5314391	Fgfr3
CHEMBL451887	Psmd8
CHEMBL3137336	AKT3
CHEMBL821	Kcnq4
CHEMBL696	Cacna1g
CHEMBL3545372	Tubb5
CHEMBL428647	Tuba1a
CHEMBL1703	Ndufaf2
CHEMBL3989512	Tuba1c
CHEMBL2109389	Fcgr4
CHEMBL1568698	Gabrg1
CHEMBL4594298	Abcb1b
